Loyalty Number,Total Flights,Total Distance,Total Points Earned,Total Points Redeemed,Active Months,Avg Flights per Active Month,Redemption Ratio,Avg Distance per Flight,Enrollment Year,Enrollment Month,Loyalty Tenure (Months),Last Flight Date,Months Since Last Flight,Churn,At Risk
100018,46,81190,81190.0,1513,11.0,4.181818181818182,0.018635299913782485,1765.0,2016,8,28,2018-12-01,0.0,0,0
100102,51,68918,68918.0,1195,12.0,4.25,0.017339446878899562,1351.3333333333333,2013,3,69,2018-12-01,0.0,0,0
100140,47,72856,72856.0,593,11.0,4.2727272727272725,0.00813934336224882,1550.127659574468,2016,7,29,2018-11-01,1.0,0,0
100214,22,38236,38236.0,861,7.0,3.142857142857143,0.022518045820692542,1738.0,2015,8,40,2018-12-01,0.0,0,0
100272,37,54997,54997.0,1007,11.0,3.3636363636363638,0.01831008964125316,1486.4054054054054,2014,1,59,2018-11-01,1.0,0,0
100301,41,62849,62849.0,1381,11.0,3.727272727272727,0.021973301086731692,1532.9024390243903,2013,9,63,2018-12-01,0.0,0,0
100364,33,45955,45955.0,559,9.0,3.6666666666666665,0.012164073550212163,1392.5757575757575,2015,5,43,2018-12-01,0.0,0,0
100380,33,55270,55270.0,1142,11.0,3.0,0.02066220372715759,1674.8484848484848,2012,10,74,2018-12-01,0.0,0,0
100428,35,58281,58281.0,1658,9.0,3.888888888888889,0.028448379403236045,1665.1714285714286,2012,8,76,2018-12-01,0.0,0,0
100504,19,27837,27837.0,0,6.0,3.1666666666666665,0.0,1465.1052631578948,2017,7,17,2018-02-01,10.0,1,1
100550,42,51687,51687.0,1114,9.0,4.666666666666667,0.021552808249656587,1230.642857142857,2013,2,70,2018-10-01,2.0,0,0
100585,41,68112,68112.0,2397,9.0,4.555555555555555,0.03519203664552502,1661.2682926829268,2013,11,61,2018-12-01,0.0,0,0
100590,28,30948,46422.0,512,3.0,9.333333333333334,0.011029253371246392,1105.2857142857142,2018,3,9,2018-07-01,5.0,0,0
100642,36,53386,53386.0,502,9.0,4.0,0.00940321432585322,1482.9444444444443,2012,5,79,2018-11-01,1.0,0,0
100644,29,45939,45939.0,2277,9.0,3.2222222222222223,0.049565728466009276,1584.103448275862,2015,7,41,2018-11-01,1.0,0,0
100646,30,41715,41715.0,559,10.0,3.0,0.013400455471652882,1390.5,2015,10,38,2018-11-01,1.0,0,0
100727,48,75593,75593.0,1570,11.0,4.363636363636363,0.020769118833754447,1574.8541666666667,2014,3,57,2018-12-01,0.0,0,0
100737,47,66830,66830.0,2357,10.0,4.7,0.03526859194972318,1421.9148936170213,2017,4,20,2018-11-01,1.0,0,0
100753,51,64171,64171.0,750,11.0,4.636363636363637,0.011687522401084602,1258.2549019607843,2015,10,38,2018-09-01,3.0,0,0
100816,31,47653,47653.0,0,8.0,3.875,0.0,1537.1935483870968,2013,3,69,2018-12-01,0.0,0,0
100853,39,47403,47403.0,579,11.0,3.5454545454545454,0.012214416809062718,1215.4615384615386,2016,1,35,2018-11-01,1.0,0,0
100883,34,53659,53659.0,0,8.0,4.25,0.0,1578.2058823529412,2013,6,66,2018-12-01,0.0,0,0
100890,27,39394,39394.0,1612,11.0,2.4545454545454546,0.0409199370462507,1459.037037037037,2014,8,52,2018-12-01,0.0,0,0
101018,41,71919,71919.0,1186,11.0,3.727272727272727,0.0164907743433585,1754.121951219512,2014,4,56,2018-11-01,1.0,0,0
101148,30,47570,47570.0,714,8.0,3.75,0.015009459743535842,1585.6666666666667,2012,11,73,2018-12-01,0.0,0,0
101356,0,0,0.0,0,,,0.0,0.0,2012,11,73,,,0,0
101363,31,50697,50697.0,1760,9.0,3.4444444444444446,0.0347160581493974,1635.3870967741937,2016,4,32,2018-12-01,0.0,0,0
101487,56,72589,72589.0,2912,12.0,4.666666666666667,0.040116271060353495,1296.232142857143,2012,12,72,2018-12-01,0.0,0,0
101515,29,50433,50433.0,2043,11.0,2.6363636363636362,0.04050919041104039,1739.0689655172414,2014,1,59,2018-11-01,1.0,0,0
101540,30,49094,49094.0,931,10.0,3.0,0.01896362080906017,1636.4666666666667,2017,5,19,2018-12-01,0.0,0,0
101544,40,61432,61432.0,1722,11.0,3.6363636363636362,0.028030993618960803,1535.8,2014,4,56,2018-12-01,0.0,0,0
101547,17,32918,32918.0,576,7.0,2.4285714285714284,0.01749802539643964,1936.3529411764705,2017,10,14,2018-11-01,1.0,0,0
101581,36,49542,49542.0,1104,9.0,4.0,0.022284122562674095,1376.1666666666667,2012,10,74,2018-11-01,1.0,0,0
101594,43,58229,58229.0,1319,11.0,3.909090909090909,0.022651943189819505,1354.1627906976744,2015,8,40,2018-12-01,0.0,0,0
101644,2,2974,2974.0,0,1.0,2.0,0.0,1487.0,2018,11,1,2018-12-01,0.0,0,0
101663,41,60109,60109.0,961,11.0,3.727272727272727,0.01598762248581743,1466.0731707317073,2016,9,27,2018-12-01,0.0,0,0
101664,29,40987,40987.0,0,10.0,2.9,0.0,1413.344827586207,2013,7,65,2018-12-01,0.0,0,0
101709,38,59596,59596.0,456,11.0,3.4545454545454546,0.007651520236257467,1568.3157894736842,2015,9,39,2018-08-01,4.0,1,0
101768,1,1733,1733.0,0,1.0,1.0,0.0,1733.0,2018,9,3,2018-12-01,0.0,0,0
101876,12,18264,18264.0,1187,5.0,2.4,0.06499123959702147,1522.0,2017,10,14,2018-06-01,6.0,1,1
101895,27,47305,47305.0,0,10.0,2.7,0.0,1752.037037037037,2013,2,70,2018-12-01,0.0,0,0
101902,77,131909,131909.0,1302,12.0,6.416666666666667,0.009870440985831142,1713.1038961038962,2017,1,23,2018-12-01,0.0,0,0
101945,39,63004,63004.0,1219,10.0,3.9,0.019347977906164687,1615.4871794871794,2013,11,61,2018-12-01,0.0,0,0
102168,25,40495,40495.0,0,8.0,3.125,0.0,1619.8,2018,1,11,2018-12-01,0.0,0,0
102184,45,69058,69058.0,0,10.0,4.5,0.0,1534.6222222222223,2016,4,32,2018-12-01,0.0,0,0
102207,25,37889,37889.0,0,8.0,3.125,0.0,1515.56,2012,5,79,2018-09-01,3.0,0,0
102299,48,59570,59570.0,0,10.0,4.8,0.0,1241.0416666666667,2015,7,41,2018-11-01,1.0,0,0
102308,0,0,0.0,0,,,0.0,0.0,2018,11,1,,,0,0
102311,51,83581,83581.0,1396,10.0,5.1,0.01670236058434333,1638.8431372549019,2016,10,26,2018-10-01,2.0,0,0
102376,73,79580,119370.0,556,6.0,12.166666666666666,0.0046577867135796265,1090.13698630137,2018,3,9,2018-12-01,0.0,0,0
102464,14,17067,17067.0,761,6.0,2.3333333333333335,0.044588972871623604,1219.0714285714287,2016,7,29,2018-10-01,2.0,0,0
102615,2,4556,4556.0,0,1.0,2.0,0.0,2278.0,2018,9,3,2018-10-01,2.0,0,0
102726,21,25020,25020.0,1426,7.0,3.0,0.05699440447641887,1191.4285714285713,2017,8,16,2018-12-01,0.0,0,0
102730,27,41890,41890.0,0,9.0,3.0,0.0,1551.4814814814815,2017,12,12,2018-12-01,0.0,0,0
102740,5,8927,8927.0,0,2.0,2.5,0.0,1785.4,2018,6,6,2018-12-01,0.0,0,0
102788,84,135657,203485.5,0,8.0,10.5,0.0,1614.9642857142858,2018,3,9,2018-12-01,0.0,0,0
102851,39,53975,53975.0,1247,10.0,3.9,0.023103288559518296,1383.974358974359,2014,8,52,2018-11-01,1.0,0,0
102877,45,75358,75358.0,908,10.0,4.5,0.01204915204755965,1674.6222222222223,2014,7,53,2018-09-01,3.0,0,0
102982,29,34835,34835.0,0,9.0,3.2222222222222223,0.0,1201.2068965517242,2016,11,25,2018-12-01,0.0,0,0
103043,43,66356,66356.0,449,12.0,3.5833333333333335,0.006766532039303152,1543.1627906976744,2018,12,0,2018-12-01,0.0,0,0
103151,31,52486,52486.0,912,12.0,2.5833333333333335,0.01737606218801204,1693.0967741935483,2013,5,67,2018-12-01,0.0,0,0
103217,36,56399,56399.0,0,8.0,4.5,0.0,1566.638888888889,2013,10,62,2018-12-01,0.0,0,0
103304,37,62563,62563.0,947,10.0,3.7,0.01513674216389879,1690.8918918918919,2013,10,62,2018-11-01,1.0,0,0
103340,44,62122,62122.0,0,9.0,4.888888888888889,0.0,1411.8636363636363,2017,3,21,2018-10-01,2.0,0,0
103352,0,0,0.0,0,,,0.0,0.0,2014,11,49,,,1,0
103359,53,82249,82249.0,564,12.0,4.416666666666667,0.006857226227674501,1551.867924528302,2016,3,33,2018-12-01,0.0,0,0
103362,3,4485,4485.0,0,1.0,3.0,0.0,1495.0,2018,10,2,2018-11-01,1.0,0,0
103383,0,0,0.0,0,,,0.0,0.0,2015,6,42,,,1,0
103436,49,86455,86455.0,902,10.0,4.9,0.010433173327164421,1764.3877551020407,2013,5,67,2018-12-01,0.0,0,0
103490,45,74308,74308.0,0,10.0,4.5,0.0,1651.2888888888888,2013,7,65,2018-12-01,0.0,0,0
103502,18,30244,30244.0,344,7.0,2.5714285714285716,0.011374156857558524,1680.2222222222222,2017,5,19,2018-12-01,0.0,0,0
103536,59,80954,80954.0,539,12.0,4.916666666666667,0.006658102132075005,1372.1016949152543,2012,10,74,2018-12-01,0.0,0,0
103699,24,36719,36719.0,0,8.0,3.0,0.0,1529.9583333333333,2018,1,11,2018-12-01,0.0,0,0
103731,33,53860,53860.0,489,9.0,3.6666666666666665,0.009079093947270701,1632.121212121212,2016,1,35,2018-11-01,1.0,0,0
103758,18,27295,27295.0,0,5.0,3.6,0.0,1516.388888888889,2018,6,6,2018-12-01,0.0,0,0
103823,42,57809,57809.0,1014,10.0,4.2,0.01754052137210469,1376.404761904762,2014,10,50,2018-12-01,0.0,0,0
103860,40,65428,65428.0,1794,11.0,3.6363636363636362,0.027419453445008252,1635.7,2014,5,55,2018-10-01,2.0,0,0
103862,37,69191,69191.0,2686,9.0,4.111111111111111,0.038820077755777484,1870.027027027027,2013,7,65,2018-12-01,0.0,0,0
103916,36,54436,54436.0,892,10.0,3.6,0.01638621500477625,1512.111111111111,2014,3,57,2018-12-01,0.0,0,0
103969,33,46744,46744.0,1131,9.0,3.6666666666666665,0.02419561868902961,1416.4848484848485,2015,4,44,2018-12-01,0.0,0,0
103970,45,56234,56234.0,0,12.0,3.75,0.0,1249.6444444444444,2015,10,38,2018-12-01,0.0,0,0
103975,15,18061,18061.0,1102,4.0,3.75,0.0610154476496318,1204.0666666666666,2018,8,4,2018-12-01,0.0,0,0
103985,4,6269,6269.0,0,3.0,1.3333333333333333,0.0,1567.25,2018,9,3,2018-12-01,0.0,0,0
104103,32,40470,40470.0,742,10.0,3.2,0.018334568816407215,1264.6875,2016,5,31,2018-08-01,4.0,0,0
104267,38,61606,92409.0,0,5.0,7.6,0.0,1621.2105263157894,2018,3,9,2018-12-01,0.0,0,0
104353,42,73980,73980.0,526,12.0,3.5,0.007110029737766964,1761.4285714285713,2014,1,59,2018-12-01,0.0,0,0
104431,43,77644,77644.0,1771,10.0,4.3,0.02280923187883159,1805.6744186046512,2014,11,49,2018-12-01,0.0,0,0
104541,34,40283,40283.0,1472,12.0,2.8333333333333335,0.036541469106074524,1184.7941176470588,2013,3,69,2018-12-01,0.0,0,0
104586,40,65640,65640.0,473,9.0,4.444444444444445,0.007205971968312005,1641.0,2016,12,24,2018-11-01,1.0,0,0
104673,48,64770,64770.0,546,10.0,4.8,0.008429828624363131,1349.375,2012,10,74,2018-12-01,0.0,0,0
104732,37,54081,54081.0,403,9.0,4.111111111111111,0.00745178528503541,1461.6486486486488,2016,1,35,2018-12-01,0.0,0,0
104739,0,0,0.0,0,,,0.0,0.0,2013,11,61,,,1,0
104849,35,53641,53641.0,363,10.0,3.5,0.006767211647806715,1532.6,2014,3,57,2018-12-01,0.0,0,0
104960,32,48555,48555.0,589,8.0,4.0,0.01213057357635671,1517.34375,2012,6,78,2018-10-01,2.0,0,0
105063,27,40695,61042.5,0,4.0,6.75,0.0,1507.2222222222222,2018,3,9,2018-11-01,1.0,0,0
105073,52,43874,65811.0,0,7.0,7.428571428571429,0.0,843.7307692307693,2018,3,9,2018-12-01,0.0,0,0
105074,46,66078,66078.0,1567,11.0,4.181818181818182,0.02371439813553679,1436.4782608695652,2014,10,50,2018-12-01,0.0,0,0
105145,0,0,0.0,0,,,0.0,0.0,2012,7,77,,,0,0
105193,3,6621,6621.0,0,1.0,3.0,0.0,2207.0,2018,6,6,2018-10-01,2.0,0,0
105214,35,52473,52473.0,1847,9.0,3.888888888888889,0.035199054751967676,1499.2285714285715,2013,8,64,2018-11-01,1.0,0,0
105251,10,20733,20733.0,0,3.0,3.3333333333333335,0.0,2073.3,2014,10,50,2017-06-01,18.0,1,1
105335,36,62882,62882.0,2193,10.0,3.6,0.034874844947679784,1746.7222222222222,2014,10,50,2018-11-01,1.0,0,0
105352,0,0,0.0,0,,,0.0,0.0,2014,1,59,,,1,0
105552,30,58554,58554.0,819,9.0,3.3333333333333335,0.013987088841069781,1951.8,2015,11,37,2018-10-01,2.0,0,0
105688,45,71537,71537.0,1004,12.0,3.75,0.014034695332485287,1589.7111111111112,2014,6,54,2018-11-01,1.0,0,0
105700,0,0,0.0,0,,,0.0,0.0,2013,8,64,,,1,0
105712,31,46412,46412.0,1168,9.0,3.4444444444444446,0.025165905369301043,1497.1612903225807,2015,8,40,2018-08-01,4.0,0,0
105789,38,68173,68173.0,687,10.0,3.8,0.010077303331230839,1794.0263157894738,2012,6,78,2018-12-01,0.0,0,0
105835,35,41790,62685.0,0,6.0,5.833333333333333,0.0,1194.0,2018,4,8,2018-12-01,0.0,0,0
105841,73,105928,158892.0,522,8.0,9.125,0.0032852503587342346,1451.0684931506848,2018,3,9,2018-12-01,0.0,0,0
105921,49,70250,70250.0,1753,10.0,4.9,0.02495373665480427,1433.6734693877552,2012,9,75,2018-12-01,0.0,0,0
105932,30,55256,55256.0,765,10.0,3.0,0.01384465035471261,1841.8666666666666,2016,7,29,2018-12-01,0.0,0,0
105992,42,61310,61310.0,1647,12.0,3.5,0.02686348067199478,1459.7619047619048,2016,12,24,2018-11-01,1.0,0,0
106001,76,119565,119565.0,2698,12.0,6.333333333333333,0.022565131936603523,1573.2236842105262,2013,1,71,2018-12-01,0.0,0,0
106037,51,68781,68781.0,0,12.0,4.25,0.0,1348.6470588235295,2013,3,69,2018-12-01,0.0,0,0
106038,32,44279,44279.0,1377,11.0,2.909090909090909,0.031098263285078705,1383.71875,2016,9,27,2018-11-01,1.0,0,0
106046,48,98729,148093.5,943,7.0,6.857142857142857,0.0063675988480250655,2056.8541666666665,2018,4,8,2018-12-01,0.0,0,0
106048,3,2103,2103.0,0,1.0,3.0,0.0,701.0,2018,11,1,2018-12-01,0.0,0,0
106218,38,53572,53572.0,1209,10.0,3.8,0.022567759277234378,1409.7894736842106,2014,1,59,2018-12-01,0.0,0,0
106397,25,35660,35660.0,450,9.0,2.7777777777777777,0.012619181155356141,1426.4,2012,5,79,2018-12-01,0.0,0,0
106444,14,19680,19680.0,1590,5.0,2.8,0.08079268292682927,1405.7142857142858,2017,12,12,2018-12-01,0.0,0,0
106477,23,29743,29743.0,0,9.0,2.5555555555555554,0.0,1293.1739130434783,2014,2,58,2018-12-01,0.0,0,0
106509,10,13811,13811.0,0,2.0,5.0,0.0,1381.1,2017,4,20,2018-10-01,2.0,1,0
106589,0,0,0.0,0,,,0.0,0.0,2013,8,64,,,1,0
106592,47,76347,76347.0,1003,11.0,4.2727272727272725,0.013137385882876865,1624.404255319149,2016,6,30,2018-11-01,1.0,0,0
106616,6,9406,9406.0,0,3.0,2.0,0.0,1567.6666666666667,2018,7,5,2018-11-01,1.0,0,0
106623,4,2092,2092.0,0,2.0,2.0,0.0,523.0,2018,9,3,2018-12-01,0.0,0,0
106637,32,48721,48721.0,1770,11.0,2.909090909090909,0.03632930358572279,1522.53125,2014,4,56,2018-10-01,2.0,0,0
106689,23,34355,34355.0,1690,8.0,2.875,0.04919225731334595,1493.695652173913,2017,6,18,2018-11-01,1.0,0,0
106754,31,33368,33368.0,1167,8.0,3.875,0.03497362742747542,1076.3870967741937,2012,7,77,2018-10-01,2.0,0,0
106757,35,53926,53926.0,0,8.0,4.375,0.0,1540.7428571428572,2015,6,42,2018-12-01,0.0,0,0
106776,43,68400,68400.0,1109,10.0,4.3,0.016213450292397662,1590.6976744186047,2012,12,72,2018-12-01,0.0,0,0
106838,39,71555,71555.0,0,10.0,3.9,0.0,1834.7435897435898,2016,10,26,2018-12-01,0.0,0,0
106839,45,64569,64569.0,662,11.0,4.090909090909091,0.010252597995942326,1434.8666666666666,2014,7,53,2018-12-01,0.0,0,0
106936,45,71149,71149.0,948,11.0,4.090909090909091,0.013324150725941335,1581.088888888889,2012,11,73,2018-11-01,1.0,0,0
106946,50,78216,78216.0,2449,12.0,4.166666666666667,0.03131072926255497,1564.32,2016,3,33,2018-12-01,0.0,0,0
106964,4,5889,5889.0,512,2.0,2.0,0.086941755815928,1472.25,2018,8,4,2018-12-01,0.0,0,0
106978,46,70762,70762.0,386,10.0,4.6,0.005454905175093977,1538.304347826087,2012,12,72,2018-12-01,0.0,0,0
106979,38,66576,66576.0,1530,11.0,3.4545454545454546,0.022981254506128333,1752.0,2012,6,78,2018-10-01,2.0,0,0
107037,31,37882,37882.0,669,9.0,3.4444444444444446,0.017660102423314502,1222.0,2017,5,19,2018-11-01,1.0,0,0
107067,35,46235,46235.0,1531,10.0,3.5,0.03311344219746945,1321.0,2016,3,33,2018-12-01,0.0,0,0
107119,47,73636,73636.0,995,11.0,4.2727272727272725,0.01351241240697485,1566.723404255319,2013,4,68,2018-12-01,0.0,0,0
107141,33,44019,44019.0,1950,8.0,4.125,0.0442990526817965,1333.909090909091,2013,8,64,2018-12-01,0.0,0,0
107203,47,65065,65065.0,1110,11.0,4.2727272727272725,0.017059863213709368,1384.3617021276596,2016,3,33,2018-10-01,2.0,0,0
