Loyalty Number,Total Flights,Total Distance,Total Points Earned,Total Points Redeemed,Active Months,Avg Flights per Active Month,Redemption Ratio,Avg Distance per Flight,Enrollment Year,Enrollment Month,Loyalty Tenure (Months),Last Flight Date,Months Since Last Flight,Churn,At Risk,Cluster,Customer Segment
100018,46,81190,81190.0,1513,11.0,4.181818181818182,0.0186352999137824,1765.0,2016,8,28,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100102,51,68918,68918.0,1195,12.0,4.25,0.0173394468788995,1351.3333333333333,2013,3,69,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100140,47,72856,72856.0,593,11.0,4.2727272727272725,0.0081393433622488,1550.127659574468,2016,7,29,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
100214,22,38236,38236.0,861,7.0,3.142857142857143,0.0225180458206925,1738.0,2015,8,40,2018-12-01,0.0,0,0,1,Growing Customers
100272,37,54997,54997.0,1007,11.0,3.363636363636364,0.0183100896412531,1486.4054054054054,2014,1,59,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
100301,41,62849,62849.0,1381,11.0,3.727272727272727,0.0219733010867316,1532.9024390243903,2013,9,63,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100364,33,45955,45955.0,559,9.0,3.6666666666666665,0.0121640735502121,1392.5757575757575,2015,5,43,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100380,33,55270,55270.0,1142,11.0,3.0,0.0206622037271575,1674.8484848484848,2012,10,74,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100428,35,58281,58281.0,1658,9.0,3.888888888888889,0.028448379403236,1665.1714285714286,2012,8,76,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100504,19,27837,27837.0,0,6.0,3.1666666666666665,0.0,1465.1052631578948,2017,7,17,2018-02-01,10.0,1,1,1,Growing Customers
100550,42,51687,51687.0,1114,9.0,4.666666666666667,0.0215528082496565,1230.642857142857,2013,2,70,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
100585,41,68112,68112.0,2397,9.0,4.555555555555555,0.035192036645525,1661.2682926829268,2013,11,61,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100590,28,30948,46422.0,512,3.0,9.333333333333334,0.0110292533712463,1105.2857142857142,2018,3,9,2018-07-01,5.0,0,0,3,High-Engagement New Travelers
100642,36,53386,53386.0,502,9.0,4.0,0.0094032143258532,1482.9444444444443,2012,5,79,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
100644,29,45939,45939.0,2277,9.0,3.2222222222222223,0.0495657284660092,1584.103448275862,2015,7,41,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
100646,30,41715,41715.0,559,10.0,3.0,0.0134004554716528,1390.5,2015,10,38,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
100727,48,75593,75593.0,1570,11.0,4.363636363636363,0.0207691188337544,1574.8541666666667,2014,3,57,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
